"id","name","description","invoice_label","amount","amount_type","type_tax_use","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id"
"tax0sale","EXENTO","EXENTO (VENTAS)","EXENTO (VENTAS)","0.0","percent","sale","tax_group_iva_0","base","invoice",""
"","","","","","","","","tax","invoice",""
"","","","","","","","","base","refund",""
"","","","","","","","","tax","refund",""
"tax1sale","16%","IVA (16.0%) VENTAS","IVA (16.0%) VENTAS","16.0","percent","sale","tax_group_iva_16","base","invoice",""
"","","","","","","","","tax","invoice","account_account_2102004"
"","","","","","","","","base","refund",""
"","","","","","","","","tax","refund","account_account_2102004"
"tax2sale","8%","IVA (8.0%) VENTAS","IVA (8.0%) VENTAS","8.0","percent","sale","tax_group_iva_8","base","invoice",""
"","","","","","","","","tax","invoice","account_account_2102004"
"","","","","","","","","base","refund",""
"","","","","","","","","tax","refund","account_account_2102004"
"tax3sale","31%","IVA (31.0%) VENTAS","IVA (31.0%) VENTAS","31.0","percent","sale","tax_group_iva_31","base","invoice",""
"","","","","","","","","tax","invoice","account_account_2102004"
"","","","","","","","","base","refund",""
"","","","","","","","","tax","refund","account_account_2102004"
"tax0purchase","EXENTO","EXENTO (COMPRAS)","EXENTO (COMPRAS)","0.0","percent","purchase","tax_group_iva_0","base","invoice",""
"","","","","","","","","tax","invoice",""
"","","","","","","","","base","refund",""
"","","","","","","","","tax","refund",""
"tax1purchase","16%","IVA (16.0%) COMPRAS","IVA (16.0%) COMPRAS","16.0","percent","purchase","tax_group_iva_16","base","invoice",""
"","","","","","","","","tax","invoice","account_account_1107001"
"","","","","","","","","base","refund",""
"","","","","","","","","tax","refund","account_account_1107001"
"tax2purchase","8%","IVA (8.0%) COMPRAS","IVA (8.0%) COMPRAS","8.0","percent","purchase","tax_group_iva_8","base","invoice",""
"","","","","","","","","tax","invoice","account_account_1107001"
"","","","","","","","","base","refund",""
"","","","","","","","","tax","refund","account_account_1107001"
"tax3purchase","31%","IVA (31.0%) COMPRAS","IVA (31.0%) COMPRAS","31.0","percent","purchase","tax_group_iva_31","base","invoice",""
"","","","","","","","","tax","invoice","account_account_1107001"
"","","","","","","","","base","refund",""
"","","","","","","","","tax","refund","account_account_1107001"
